property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
2 BHK Flat in Sector 81 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-81-sector-81-gurgaon-1075-sq-ft-spid-F68828122,Signature Global City 81,96 Lac,"₹ 9,767/sq.ft.",Carpet area: 1075 (99.87 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Sector 81 Gurgaon, Gurgaon, Haryana",1st   of 4 Floors,,Jun 2024,"['Ambience Mall New', 'Dwarka Expressway', 'NH8', ""St. Xavier's High School"", 'Miracles Apollo Cradle', 'Hyatt Regency Gurgaon', 'Nakhrola Stadium']","Signature global city 81 is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. Constructed on a carpet area of 1075 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 1st floor of this 4 floors tall residential building. As the property is currently under construction , you can expect to get the possession by june 2024.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4.5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5']",F68828122
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hcbs-sports-ville-sohna-gurgaon-519-sq-ft-spid-S68825922,HCBS Sports Ville3.6 ★,29 Lac,"₹ 5,587/sq.ft.",Carpet area: 519 (48.22 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,,"Sohna, Gurgaon, Haryana",4th   of 13 Floors,,1 to 5 Year Old,"['The roadside cafe', 'GD Goenka Mess', 'ROyal Kitchen', 'Mithaas Wala', 'Momomia Gurgoan']",Affordable housing in gurgaon and surrounded by green and clean air. Selling off due to relocation.,,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4 out of 5', 'Amenities4 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity2 out of 5']",S68825922
3 BHK Flat in Sector 79 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-araville-sector-79-gurgaon-1945-sq-ft-spid-H68825634,Supertech Araville,1.35 Crore,"₹ 6,940/sq.ft.",Carpet area: 1945 (180.7 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,,"Sector 79 Gurgaon, Gurgaon, Haryana",4th   of 15 Floors,,1 to 5 Year Old,"['Petrol Pump Indian Oil', 'Petrol Pump', 'Rao Dhaba', ""McDonald's""]","Well spacious, nicely built with wooden flooring in master bed room. The location of the house is convenient for school goers and the connectivity is great too.","['1 Water Purifier', '2 Fan', '1 Geyser', '3 Light', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",H68825634
2 BHK Flat in Sector 33 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-33-gurgaon-1385-sq-ft-r3-spid-F54915126,Godrej,95 Lac,"₹ 6,859/sq.ft.",Super Built up area 1385(128.67 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,,"Flat No. :- 301, Sector 33 Gurgaon, Gurgaon, Haryana",3rd   of 20 Floors,South-East,Under Construction,,"Its an godrej project nature plus.
On 3rd floor. 1st flat
 Balcony east facing & flat is north facing.
With 4 balconies.
On sec - 33 , sohan road
Front facing flat..
If need more details you can contact me.",,,"['Environment3 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",F54915126
2 BHK Flat in Sector 90 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-flora-sector-90-gurgaon-1300-sq-ft-spid-K68824240,Shree Vardhman Flora3.8 ★,70 Lac,"₹ 5,384/sq.ft.",Super Built up area 1300(120.77 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Study Room,"Sector 90 Gurgaon, Gurgaon, Haryana",13rd   of 13 Floors,,0 to 1 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']","This 2 bhk apartment is available for sale in shree vardhman flora, one of the most prominent projects for flats in sector 90 gurgaon. Constructed on a super built up area of 1300 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 13 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",,"['Intercom Facility', 'Lift(s)', 'Park']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",K68824240
4 BHK Flat in Sector 108 Gurgaon,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2343-sq-ft-spid-R68822708,Sobha City,3.95 Crore,"₹ 16,859/sq.ft.",Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4 Bedrooms,5 Bathrooms,3 Balconies,,"Sector 108, Sector 108 Gurgaon, Gurgaon, Haryana",25th   of 25 Floors,,undefined,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']",This is sale property................................. Sobha city sector 108,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Safety4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5']",R68822708
1 BHK Flat in Sector 62 Gurgaon,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-62-gurgaon-639-sq-ft-r1-spid-S64125662,Senate Court,90 Lac,"₹ 14,084/sq.ft.",Built Up area: 639 (59.37 sq.m.),1 Bedroom,1 Bathroom,No Balcony,,"Senate Court, Sector 62, Gurgaon, Sector 62 Gurgaon, Gurgaon, Haryana",Ground of 1 Floors,,undefined,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'State bank ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Kriti Hospital', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Surgicare Hospital Gurgaon', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Vishesh Dental', 'Neelkanth Health Care', 'Park Hospital Gurgaon', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Wembley estate club', 'HUDA Office Complex', 'Medisca', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', '222', 'Madison and Pike', 'Pizza Hut', 'India', 'Haldiram', 'Kamla International', 'Gurugram University', 'Amity Global School']","Looking for a 1 bhk apartment for sale in gurgaon? Your search ends here. Buy this 1 bhk property in gurgaons finest location, sector 62. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 7 floors. This apartment is available at a reasonable price of rs 90.0 l. The built up area of this property is 639 square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as kunskapsskolan eduventures pvt ltd, c r oasis convent senior secondry school, and pardeep mor mamoril school. Medical facility is also close at hand with names like park hospital, artemis hospital gurgaon, and w pratiksha hospital senate court senate court, sector 62, gurgaon",,,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5']",S64125662
2 BHK Flat in Sector 102 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-915-sq-ft-spid-O68818592,Shapoorji Pallonji Joyville Gurugram4.0 ★,1.05 Crore,"₹ 11,475/sq.ft.",Carpet area: 915 (85.01 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"G04, Sector 102 Gurgaon, Gurgaon, Haryana",Ground of 14 Floors,,Mar 2024,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']",New upcoming available in next 6-9 months,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']",O68818592
2 BHK Flat in Sector 93 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-orchard-avenue-2-sector-93-gurgaon-577-sq-ft-spid-H68815396,Signature Global Orchard Avenue 2,,,Carpet area: 577.11 (53.62 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"L-1104, Sector 93 Gurgaon, Gurgaon, Haryana",11st   of 14 Floors,East,Under Construction,"['Huda Metro Station', 'V3S Sapphire Ninety', 'IMT Road', 'Pataudi Road', 'Dwarka Expy', 'RPS International School', 'Euro International School', 'SGT University', 'Arc Multi Speciality hospital', 'Indira Gandhi Intl Airport', 'Farrukh Nagar Railway Station']","Looking for a budget-Friendly 2 bhk flat in a prime location with modern amenities? Look no further than signature global orchard avenue 2 sector 93 in new gurgaon!Our ready-To-Move flats are the perfect choice for those looking for a comfortable and convenient living experience. Located in one of the top sectors of new gurgaon, our society is just a stone's throw away from the nearest metro station, ensuring that you can easily get around the city without any hassle.Our flats are designed to offer you the best of both worlds - Comfort and luxury. With spacious bedrooms, modern kitchens, and well-Appointed bathrooms, our flats are the perfect place to call home. You'll also have access to a range of amenities, including a gym, swimming pool, and landscaped gardens, ensuring that you can relax and unwind after a long day.So why wait? Come and visit signature global orchard avenue 2 today and experience the best in modern living. Our friendly team is always on hand to help you find your dream home, and we'll make sure that you're completely satisfied with your purchase. Contact us today to learn more!",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,H68815396
3 BHK Flat in Sector-33 Sohna,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-2100-sq-ft-spid-I68814518,Central Park Flower Valley,2.2 Crore,"₹ 10,476/sq.ft.",Super Built up area 2100(195.1 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,"Sector-33 Sohna, Gurgaon, Haryana",12nd   of 13 Floors,North-East,0 to 1 Year Old,"['Airia Mall', 'NH 248A', 'NE 4, Haryana', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Lady Florence Convent School Sohna', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Country Inn & Suites By Radisson', 'Tau Devilal Stadium Sohna']","This beautiful 3 bhk flat in sector-33 sohna, gurgaon is situated in central park flower valley, one of the popular residential society in gurgaon. The flat is over 2100 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 13 floors and this property is situated on 12th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,I68814518
2 BHK Flat in Sector 89 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1103-sq-ft-spid-P68810298,Smart World Gems,1.01 Crore,"₹ 9,156/sq.ft.",Carpet area: 1103 (102.47 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,"Sector 89 Gurgaon, Gurgaon, Haryana",4th   of 4 Floors,,Dec 2025,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",Possession soon . Luxurious flat with terrace and basement,,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",P68810298
3 BHK Flat in Sector 79 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-altura-sector-79-gurgaon-2150-sq-ft-spid-B68809960,Bestech Altura,1.85 Crore,"₹ 8,604/sq.ft.",Super Built up area 2150(199.74 sq.m.),3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,"Sector 79 Gurgaon, Gurgaon, Haryana",11st   of 22 Floors,North,0 to 1 Year Old,"['Sapphire 83 Mall', 'NH -8', 'Golf Course Extension Road', 'Mount Olympus Junior School', 'Amity University Gurugram', 'Miracles Apollo Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Savoy Suites, Manesar', 'Golden Greens Golf & Resorts']","This lovely 3 bhk apartment/flat in sector 79 gurgaon is available for sale in one of gurgaon's most popular projects, bestech altura. The flat occupies a super built up area of 2150 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the 11th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","['5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",B68809960
2 BHK Flat in Sector 89 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1103-sq-ft-spid-K68809718,Smart World Gems,86 Lac,"₹ 7,796/sq.ft.",Super Built up area 1103(102.47 sq.m.),2 Bedrooms,3 Bathrooms,3 Balconies,,"Sector 89 Gurgaon, Gurgaon, Haryana",4th   of 4 Floors,,By 2023,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']","We are the proud owners of this 2 bhk apartment available in smart world gems, sector 89 gurgaon, gurgaon. This it is a and the unit is located on 4th floor and has a super built-Up area of 1103 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",[],,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",K68809718
3 BHK Flat in Sector 102 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-Z68808868,Emaar Imperial Gardens3.8 ★,1.85 Crore,"₹ 9,135/sq.ft.",Carpet area: 2025 (188.13 sq.m.),3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,"Sector 102 Gurgaon, Gurgaon, Haryana",Ground of 14 Floors,South-West,1 to 5 Year Old,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Country Inn & Suites by Radisson', 'Nehru Stadium']","Private garden area well maintained
No hassle to wait for lift during rush hours as it's a ground floor. 
Complete sun light 
Able to do bonfire inside the house due to extended balcony area","['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '20 Light', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4.5 out of 5', 'Construction4 out of 5', 'Connectivity3.5 out of 5']",Z68808868
3 BHK Flat in Sector 113 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-2217-sq-ft-spid-N68807188,La Vida by Tata Housing,2.85 Crore,"₹ 12,855/sq.ft.",Super Built up area 2217(205.97 sq.m.),3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,"Sector 113 Gurgaon , Gurgaon, Haryana",10th   of 25 Floors,East,0 to 1 Year Old,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Bajghera Road', 'Dwarka Expy', 'Euro International School, Sector- 109.', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi Intl Airport', 'Bijwasan Railway Station']","La vida by tata housing is one of the most popular destination for buying apartments/ flats in sector 113 gurgaon . You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2217 sq.Ft. This flat is situated on the 10th floor of this 25 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Proximity to landmarks like close to market, close to railway station and close to school makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, lift(s), park, visitor parking and maintenance staff. The society provides continuous water supply from municipal corporation and borewell/tank.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,N68807188
5 BHK Flat in Sector 1 Gurgaon,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-sector-1-gurgaon-4500-sq-ft-spid-Z68804716,The New People Apartments,Price on Request,,Built Up area: 4500 (418.06 sq.m.),5 Bedrooms,1 Bathroom,No Balcony,,"Sector 1, Sector 1 Gurgaon, Gurgaon, Haryana",Ground of 1 Floors,,undefined,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Yadav Dental & Eye Care', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']",Best in class property available at sector 1 location in gurgaon,,,,Z68804716
2 BHK Flat in Sector 36 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-36-gurgaon-531-sq-ft-spid-E68804110,The Serenas,42 Lac,"₹ 7,910/sq.ft.",Carpet area: 531 (49.33 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",3rd   of 3 Floors,,undefined,,Best in class property available at sector 36 sohna location in gurgaon,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,E68804110
3 BHK Flat in Sector 65 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-3355-sq-ft-spid-L68803564,M3M Golfestate4.4 ★,6.15 Crore,"₹ 18,331/sq.ft.",Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3 Bedrooms,4 Bathrooms,2 Balconies,,"Sector 65, Sector 65 Gurgaon, Gurgaon, Haryana",20th   of 20 Floors,North-East,undefined,"['Sector 54 Chowk Metro Station', 'Sahara Mall', 'NH 248A', 'Shiksha Bharti Public School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Holiday Inn Express Gurugram']",One of the best units in m3m golf estate with l shaped wraparound balcony. 3side open apartment with ample sunlight. Vaastu perfect with east entry. Y m3m golf estate sector 65,,,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management5 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",L68803564
3 BHK Flat in Sector 48 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-resort-belgravia-residences-sector-48-gurgaon-2880-sq-ft-spid-E68802270,Central Park Resort Belgravia Residences,6.25 Crore,"₹ 24,300/sq.ft.",Carpet area: 2880 (267.56 sq.m.),3 Bedrooms,5 Bathrooms,3+ Balconies,Servant Room,"Sector 48 Gurgaon, Gurgaon, Haryana",5th   of 17 Floors,South-East,5 to 10 Year Old,"['Decathlon Sohna Road', 'Raheja Mall', 'Elements One Mall', 'GD Goenka Public School', 'Mount Olympus School', 'Basant Valley Global School', 'Lotus Valley School', 'Park Hospital (Gurugram, Haryana)', 'CK Birla Hospital', 'CDAS Super Speciality Hospital', 'Orchid Business Park', 'Candor TechSpace', 'JMD Megapolis', 'Splendor Trade Tower', 'DoubleTree by Hilton']","Situated in sector 48 gurgaon, central park resort belgravia residences is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is over 2880 sq.Ft. Carpet area and comes with 3 bedroom(s), 5 bathrooms and more than 3 balconies. The flat has a total of 17 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.","['6 Fan', '1 Exhaust Fan', '4 Geyser', '55 Light', '1 Chimney', '1 Modular Kitchen', '10 Wardrobe', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",E68802270
2 BHK Flat in Sector 37C Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-37-c-gurgaon-750-sq-ft-spid-I68801870,Apex builders,42 Lac,"₹ 5,600/sq.ft.",Carpet area: 750 (69.68 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Sector 37C Gurgaon, Gurgaon, Haryana",4th   of 12 Floors,North,1 to 5 Year Old,"['Kamla Hospital Gurgaon', 'Shri Multispeciality Hospital', 'Shri Balaji Hospital and Trauma Center', 'Yadav Hospital Gurgoan', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'The Muskan Dental Clinic', 'Harshila Dental Clinic', 'Dental Xpert Dental Clinic', 'Gautam Hospital', 'Clove Dental', 'Esic Hospital Gurugram', 'Sai Dental Clinic', 'Sunrise Hospital Gurgaon', 'Bhanu Dental Care', 'Nutan Dental Hospital', 'Ankur Clinic and Maternity Home', 'Shri Ram Dental Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Navjeevan Hospital and Maternity Centre', 'Parmar Dental Clinic & Lab', 'Ayushman Hospital And Trauma Centre', 'Shiv Mahima Patient Care Bureau', 'Rachna Dental Clinic', 'Vaishnavi Nursing Home', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Shree Krishna Hospital Gurgaon', 'Dr. Madan Clinic', 'Taneja Hospital', 'Dev Man Kathuria Clinic', 'Boxer Fuel Point', 'Basai dhankot railway station']",Have car parking available and connected to newly developed dwaka expressway,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",I68801870
